ABE 40.65 -75.44
ABI 32.42 -99.68
ABQ 35.05 -106.6
ABR 45.45 -98.42
ACD 55.20 -162.73
ACT 31.62 -97.22
ACV 40.98 -124.10
ACY 39.45 -74.57
ADK 51.88 -176.65
AGS 33.37 -81.97
AHN 33.95 -83.32
AKN 58.68 -156.65
ALB 42.75 -73.80
ALO 42.55 -92.4
AMA 35.23 -101.7
ANC 61.17 -150.02
APN 45.07 -83.57
AST 46.15 -123.88
ATL 33.65 -84.43
AUS 30.28 -97.70
AVL 35.43 -82.55
AVP 41.33 -75.73
BDL 41.93 -72.68
BER 32.43 -64.68
BET 60.78 -161.8
BFF 41.87 -103.60
BFL 35.42 -119.05
BGM 42.22 -75.98
BHM 33.57 -86.75
BIL 45.80 -108.53
BIS 46.77 -100.75
BIX 30.42 -88.92
BKW 37.78 -81.12
BNA 36.12 -86.68
BOI 43.57 -116.22
BOS 42.37 -71.03
BPT 29.95 -94.02
BRO 25.9  -97.43
BRW 71.3  -156.78
BTR 30.53 -91.15
BTT 66.92 -151.52
BTV 44.47 -73.15
BUF 42.93 -78.73
BWI 39.18 -76.67
CAE 33.95 -81.12
CAK 40.92 -81.43
CDC 37.70 -113.10
CHA 35.03 -85.20
CHS 32.90 -80.03
CLE 41.42 -81.87
CLT 35.22 -80.93
CMH 40.00 -82.88
CNK 39.55 -97.65
CON 43.20 -71.50
COS 38.82 -104.72
COU 38.82 -92.22
CPR 42.92 -106.47
CRP 27.78 -97.52
CRW 38.37 -81.6
CSG 32.52 -84.95
CVG 39.05 -84.67
CYS 41.15 -104.82
DAB 29.18 -81.05
DAG 34.85 -116.78
DAY 39.90 -84.20
DCA 38.85 -77.03
DDC 37.77 -99.97
DEN 39.77 -104.87
DFW 32.90 -97.03
DLH 46.83 -92.18
DRT 29.37 -100.92
DSM 41.53 -93.65
DTW 42.23 -83.33
EAU 44.87 -91.48
EKO 40.83 -115.78
ELP 31.8  -106.4
ELY 39.28 -114.85
ERI 42.08 -80.18
EUG 44.12 -123.22
EVV 38.05 -87.53
EWR 40.70 -74.17
EYW 24.55 -81.75
