NAPS_ID	STATION_NAME	Type	Status	TOXIC	Designated	PROVINCE	STREET_ADDRESS	CITY	COUNTRY	FSA	Postal_Code	TimeZone	Lat_Decimal	Long_Decimal	Elevation_m	SO2	CO	NO2	NO	NOX	O3	PM_10_continuous	PM_25_015_continuous	PM_25_017_dryer	PM_25_018_BAM_RH45	PM_25_019_gravimetric40/50	PM_25_020_gravimetric30/50	PM_25_021_gravimetric30	PM_25_022__FDMS	PM_1_GRIMM180	PM_25_026_GRIMM180	PM_10_GRIMM180	PM_25_030_BAM_RH3	PM_10_031_BAM_RH35	PM_25_032_SHARP	VOC	ALDEH_KETO	DICHOTX_METALS	PCB	PCDD	PBDE
10101	DUCKWORTH & ORDINANCE	C	0		P	NEWFOUNDLAND AND LABRADOR	DUCKWORTH & ORDINANCE	ST. JOHN'S	CANADA	A1C	A1C 1E4	-3.5	47.56806	-52.70222	7	X	X	X	X	X	X																				
10102	WATER STREET POST OFFICE	C	1	X	Y	NEWFOUNDLAND AND LABRADOR	354 WATER STREET	ST. JOHN'S	CANADA	A1C	A1C 1C4	-3.5	47.56	-52.71139	17	X	X	X	X	X	X												X			X	X				
10201	CORMACK	U	0		P	NEWFOUNDLAND AND LABRADOR	CORMACK	CORMACK	CANADA	A0K	A0K 2E0	-3.5	49.26222	-57.45583	120																										
10301	CREDIT UNION	C	0		P	NEWFOUNDLAND AND LABRADOR	BROOK STREET	CORNER BROOK	CANADA	A2H	A2H 2T7	-3.5	48.949479	-57.945387	5	X	X	X	X	X	X												X								
10400	CENTRAL NEWFOUNDLAND	C	0		P	NEWFOUNDLAND AND LABRADOR	AFB GANDER	GANDER	CANADA	A2B	A2B 1C6	-3.5	48.94287	-54.55753	125																										
10401	MOUNT PEARL	R	1		Y	NEWFOUNDLAND AND LABRADOR	OLD PLACENTIA ROAD	MOUNT PEARL	CANADA	A1N	A1N 4P4	-3.5	47.50513	-52.79476	134	X	X	X	X	X	X												X								
10501	ABITIBI SITE	C	1		Y	NEWFOUNDLAND AND LABRADOR	SCOTT AVENUE	GRAND FALLS - WINDSOR	CANADA	A2B	A2A 2K1	-3.5	48.92696	-55.65966	64	X	X	X	X	X	X												X								
10601	GOOSE BAY	R	1		C	NEWFOUNDLAND AND LABRADOR	ABBOT STREET	HAPPY VALLEY - GOOSE BAY	CANADA	A0P	A0P 1CO	-4	53.31111	-60.36667	39						X																				
10602	MACPHERSON AVENUE	C	1		Y	NEWFOUNDLAND AND LABRADOR	Macpherson Ave	Corner Brook	CANADA	A2H	A2H 6Z4	-3.5	48.95224	-57.92207	99	X	X	X	X	X	X												X								
10701	FERROLE POINT	C	0		P	NEWFOUNDLAND AND LABRADOR	FERROLE POINT LIGHthOUSE	FERROLE POINT	CANADA	A0K	A0K 4L0	-3.5	51.021995	-57.095567	13						X																				
