Aberdeen , Scotland	ABZ	1973-2013
Aberdeen , SD	ABR	1948-1954 1964-1978 1983-1987 1994-2013
Abilene , TX	ABI	1947-2013
Adak , AK	ADK	1943-1993 2005-2013
Akron-Canton , OH	CAK	1949-2013
Alameda , CA	NGZ	1949-1996 20032004
Albany , NY	ALB	1945-2013
Albuquerque , NM	ABQ	1942-1945 1947-2013
Alert , NT	YLT	1964-1978 1980-1991
Allentown , PA	ABE	1948-2013
Almeria , Spain	LEI	1974-2000 2006-2013
Alpena , MI	APN	1966-2013
Amarillo , TX	AMA	1943 1947-2013
Amsterdam , Netherlands	AMS	1973-2013
Anchorage , AK	ANC	1954-2013
Arcata , CA	ACV	1950-2013
Arkhara , Russia	ARK	1966-2010
Asheville , NC	AVL	1948-1956 1964-2013
Astoria , OR	AST	1953-2013
Athens , GA	AHN	1956-2013
Atlanta , GA	ATL	1945-2013
Atlantic City , NJ	ACY	1947-2013
Augusta , GA	AGS	1949-2013
Austin , TX	AUS	1943-1945 1948-2013
Ayan , Russia	AYN	1966-2010
Bagotville , PQ	YBG	1952-2010
Baker Lake , NT	YBK	1955-1995 1999-2013
Bakersfield , CA	BFL	1931-1940 1942-1945 1947-1964 1973-1993 1995-2013
Baltimore , MD	BWI	1945-2013
Bari , Italy	BAR	1944-1945 1967-1970 1973-2013
Barrow , AK	BRW	1946-1953 1955-1964 1973-2013
Baton Rouge , LA	BTR	1942-1944 1949-2013
Beaufort , SC	NBC	1945 1958-2013
Beckley , WV	BKW	1963-1994 1996-2013
Beeville , TX	NIR	1955-1992 20032004
Bergen , Norway	BGO	1973-2013
Berlin , Germany	TXL	1974-2000
Bermuda , BE	BER	1942-1967 19701971 1973-1990 1992-1999 2005-2013
Bethel , AK	BET	1945-1964 1973-1994 1999-2013
Bettles , AK	BTT	1950-1964 1973-1991 1993-2013
Bialystock , Poland	BSK	1974-2005 20122013
Biarritz , France	BIQ	1974-2013
Big Trout Lake , ON	YTL	1953-1991 19941995 1999-2007 20092010
Billings , MT	BIL	1940-1941 1948-2013
Binghamton , NY	BGM	1948-2013
Birmingham , AL	BHM	1943 1948-2013
Birobidzhan , Russia	BBZ	1970-1970
Bismarck , ND	BIS	1948-2013
Blagoveschensk , Russia	BLG	1966-2010
Bodo , Norway	BOO	1973-2013
Bogorodskoe , Russia	BGD	1966-2010
Boise , ID	BOI	1942-1944 1948-2013
Bologna , Italy	BOL	1977-2013
Bolshoi Shantar , Russia	BSH	1966-1995 1998-2010
Bomnak , Russia	BMK	1966-1994 1998-2010
Boston , MA	BOS	1945-2013
Braunschweig , Germany	BWE	1973-2000
Bremen , Germany	BRE	1973-2000
Bristol , TN	TRI	1948-1953 1960-2013
Brno , Czech Rep.	BRQ	1974-2013
Brownsville , TX	BRO	1947-2013
Brunswick , ME	NHZ	1945-1946 1952-2009
Brussels , Belgium	BRU	1966-2013
Budapest , Hungary	BUD	1974-2013
Buffalo , NY	BUF	1942-1943 1946-2013
Burbank , CA	BUR	1973-2013
Burlington , VT	BTV	1948-2013
Busan , Korea	PUS	1965-2013
Caen , France	CFR	1974-2013
Calgary , AB	YYC	1953-1993 1995-2010
Cambridge Bay , NT	YCB	1953-1995 1999-2013
Cape Hatteras , NC	HSE	1957-1994 1996-2013
Cartwright , NF	YRF	1955-1995 2000-2013
Casper , WY	CPR	1940-1944 1950-2013
Cedar City , UT	CDC	1949-2013
Changwon , Korea	CWS	1985-2013
Charleston , SC	CHS	1946-2013
Charleston , WV	CRW	1949-2013
Charlotte , NC	CLT	1942-1944 1948-2013
Charlottetown , PE	YYG	1953-2002 2004-2013
Chatham , NB	YCH	1953-1991
Chattanooga , TN	CHA	1948-2013
Chekunda , Russia	CKD	1966-1978 1980-2003
Cheonan , Korea	CAS	1986-2013
Cheongju , Korea	KTU	1967-2013
Chernyaevo , Russia	CNV	1966-2010
Cherry Point , NC	NKT	1945-2013
Cheyenne , WY	CYS	1948-2013
Chicago , IL	ORD	1947-2013
Chuncheon , Korea	KNY	1966-2013
Churchill , MB	YYQ	1943-1945 1950-2010 20122013
Cleveland , OH	CLE	1948-2013
Clones , Ireland	CLO	1973-2007
