STATION,Official Lat they sent,Official Lon they sent,Our Google Lat ,Our Google Lon,Distance between both
ABZ,,,57.20085,-2.203327,
ABR,45.45,-98.42,45.453,-98.41833,0.358150174
ABI,32.42,-99.68,32.41111,-99.68166,1.00058291
ADK,51.88,-176.65,51.87721,-176.6442,0.504805309
CAK,40.92,-81.43,40.91501,-81.43689,0.801825092
NGZ,37.78,-122.32,37.78605,-122.3026,1.672192069
ALB,42.75,-73.8,42.74515,-73.80954,0.947144772
ABQ,35.05,-106.6,35.04866,-106.6167,1.528201808
YLT,82.5,-62.33,82.67487,-62.30848,19.44747943
ABE,40.65,-75.44,40.65181,-75.43441,0.513008191
LEI,,,36.83405,-2.463714,
APN,45.07,-83.57,45.07806,-83.56028,1.176908458
AMA,35.23,-101.7,35.2185,-101.7053,1.365361392
AMS,,,52.30769,4.767424,
ANC,61.17,-150.02,61.17392,-149.981,2.135205148
ACV,40.98,-124.1,40.97089,-124.1065,1.151417422
ARK,,,49.42556,130.078,
AVL,35.43,-82.55,35.43546,-82.53767,1.27150234
AST,46.15,-123.88,46.15577,-123.8819,0.658642429
AHN,33.95,-83.32,33.95176,-83.32522,0.519548373
ATL,33.65,-84.43,33.63998,-84.44403,1.711561815
ACY,39.45,-74.57,39.45122,-74.57247,0.251935651
AGS,33.37,-81.97,33.37206,-81.97445,0.472303703
AUS,30.28,-97.7,30.20263,-97.66814,9.130864537
AYN,,,56.45833,138.1681,
YBG,48.33,-71,48.33496,-70.9949,0.667807192
YBK,64.3,-96.08,64.29852,-96.07737,0.208511354
BFL,35.42,-119.05,35.43806,-119.0546,2.05127392
BWI,39.18,-76.67,39.18086,-76.66755,0.231839636
BAR,,,42.9017,16.28359,
BRW,71.3,-156.78,71.28528,-156.7658,1.713428033
BTR,30.53,-91.15,30.53267,-91.15617,0.660598618
NBC,32.48,-80.72,32.43158,-80.66983,7.151745224
BKW,37.78,-81.12,37.78722,-81.12389,0.872867887
NIR,28.37,-97.67,28.40083,-97.74833,8.394697863
BGO,,,60.28914,5.227126,
TXL,,,52.55883,13.28844,
BER,32.43,-64.68,32.36385,-64.67885,7.356837715
BET,60.78,-161.8,60.77972,-161.8378,2.051035262
BTT,66.92,-151.52,66.9168,-151.5185,0.361148942
BSK,,,53.13249,23.16884,
BIQ,,,43.46833,-1.531111,
YTL,53.83,-89.87,53.75859,-90.07639,15.71062183
BIL,45.8,-108.53,45.80379,-108.5374,0.711702136
BGM,42.22,-75.98,42.20861,-75.97972,1.266799833
BHM,33.57,-86.75,33.56211,-86.75108,0.882838257
